Time,Accurate,Estimate Change,Actual Change,Difference
11/28/11 @ 09:00AM,FALSE,-0.000612955491563,0.0328204842276,0.0334334397192
11/28/11 @ 10:00AM,TRUE,0.0025230983337,0.000311185989805,0.0022119123439
11/28/11 @ 11:00AM,TRUE,0.00254415176776,0.000823039348575,0.00172111241919
11/28/11 @ 12:00PM,FALSE,0.00078888009147,-0.00308537330582,0.00387425339729
11/28/11 @ 01:00PM,TRUE,0.00018939488699,0.000172371138749,0.000017023748241
11/28/11 @ 02:00PM,TRUE,-0.000075209907553,-0.000602592284543,0.00052738237699
11/28/11 @ 03:00PM,TRUE,0.000120813014273,0.00298713230242,0.00286631928815
11/28/11 @ 04:00PM,FALSE,0.000394440825701,-0.000143587724872,0.000538028550573
11/29/11 @ 09:00AM,TRUE,0.00219737412705,0.00234183481449,0.000144460687436
11/29/11 @ 10:00AM,TRUE,0.000576766393956,0.000861943270926,0.00028517687697
11/29/11 @ 11:00AM,FALSE,0.000444795229243,-0.00308958404044,0.00353437926969
11/29/11 @ 12:00PM,FALSE,0.000001224566357,-0.000403667345025,0.000404891911382
11/29/11 @ 01:00PM,TRUE,-0.000173370034049,-0.00429408750005,0.004120717466
11/29/11 @ 02:00PM,FALSE,-0.000528803912313,0.00337155678911,0.00390036070143
11/29/11 @ 03:00PM,TRUE,-0.000493520259534,-0.0013786488099,0.00088512855037
11/29/11 @ 04:00PM,FALSE,0.000087363204845,-0.000346807913359,0.000434171118204
11/30/11 @ 09:00AM,TRUE,0.00174464204984,0.0306487008825,0.0289040588327
11/30/11 @ 10:00AM,TRUE,0.00185163133977,0.00585731534906,0.00400568400929
11/30/11 @ 11:00AM,FALSE,0.00213972433951,-0.0023501727887,0.00448989712821
11/30/11 @ 12:00PM,TRUE,-0.000153730149937,-0.000061524844999,0.000092205304938
11/30/11 @ 01:00PM,TRUE,-0.000829872461634,-0.00308224908344,0.00225237662181
11/30/11 @ 02:00PM,FALSE,-0.000246235203203,0.00157516507987,0.00182140028307
11/30/11 @ 03:00PM,TRUE,0.000026147559075,0.00779866727694,0.00777251971787
11/30/11 @ 04:00PM,TRUE,0.000554165960388,0.00061541982284,0.000061253862452
12/01/11 @ 09:00AM,TRUE,0.00154684245892,0.0037789805595,0.00223213810057
12/01/11 @ 10:00AM,TRUE,-0.000222846112528,-0.00463736410022,0.0044145179877
12/01/11 @ 11:00AM,FALSE,-0.000311134812243,0.00140558972709,0.00171672453933
12/01/11 @ 12:00PM,FALSE,0.000256363387543,-0.00215221961582,0.00240858300337
12/01/11 @ 01:00PM,TRUE,0.000367146512782,0.00612738473958,0.00576023822679
12/01/11 @ 02:00PM,FALSE,0.00110579234873,-0.00126305254284,0.00236884489157
12/01/11 @ 03:00PM,FALSE,0.000472809817895,-0.00158807232676,0.00206088214465
12/01/11 @ 04:00PM,TRUE,0.000679793810672,0.000307111639766,0.000372682170906
12/02/11 @ 09:00AM,TRUE,0.000339438991239,0.0085383191689,0.00819888017766
