Time,Accurate,Estimate Change,Actual Change,Difference
12/07/11 @ 02:00PM,TRUE,-0.000748608868232,-0.00242570158111,0.00167709271288
12/07/11 @ 03:00PM,FALSE,-0.000636595377865,0.00448164970944,0.0051182450873
12/07/11 @ 04:00PM,FALSE,-0.000414025532938,0.000286416855983,0.000700442388921
12/08/11 @ 09:00AM,FALSE,0.000369252917139,-0.00308519074823,0.00345444366537
12/08/11 @ 10:00AM,TRUE,-0.000278022046568,-0.0022143671878,0.00193634514123
12/08/11 @ 11:00AM,TRUE,-0.000864298069601,-0.001627784604,0.000763486534397
12/08/11 @ 12:00PM,FALSE,0.000029783989405,-0.00143525450261,0.00146503849201
12/08/11 @ 01:00PM,TRUE,-0.000187478255857,-0.00169325529469,0.00150577703883
12/08/11 @ 02:00PM,TRUE,-0.00038551262804,-0.00219408440061,0.00180857177257
12/08/11 @ 03:00PM,TRUE,-0.000572777138909,-0.00248011292205,0.00190733578315
12/08/11 @ 04:00PM,TRUE,-0.000688347330916,-0.000018498906412,0.000669848424504
12/09/11 @ 09:00AM,FALSE,-0.00172766372742,0.00547320262162,0.00720086634904
12/09/11 @ 10:00AM,FALSE,-0.00135628457409,0.00324201459278,0.00459829916687
12/09/11 @ 11:00AM,FALSE,-0.0013874275134,0.00186371462049,0.00325114213389
12/09/11 @ 12:00PM,FALSE,-0.00135676866543,0.00116055056592,0.00251731923135
12/09/11 @ 01:00PM,FALSE,-0.00145668463481,0.00066674582909,0.0021234304639
12/09/11 @ 02:00PM,FALSE,-0.000731104898188,0.00195686625145,0.00268797114964


TOTAL,,,,0.26215325457361
