Time,Accurate,Estimate Change,Actual Change,Difference
11/28/11 @ 09:00AM,FALSE,-0.00017611910785,0.0328204842276,0.0329966033354
11/28/11 @ 10:00AM,TRUE,0.00784641298591,0.000311185989805,0.00753522699611
11/28/11 @ 11:00AM,TRUE,0.00690142306856,0.000823039348575,0.00607838371998
11/28/11 @ 12:00PM,FALSE,0.000925870543255,-0.00308537330582,0.00401124384908
11/28/11 @ 01:00PM,FALSE,-0.001548571839,0.000172371138749,0.00172094297775
11/28/11 @ 02:00PM,TRUE,-0.000173968767099,-0.000602592284543,0.000428623517445
11/28/11 @ 03:00PM,FALSE,-0.000458107618758,0.00298713230242,0.00344523992118
11/28/11 @ 04:00PM,TRUE,-0.000058851508824,-0.000143587724872,0.000084736216048
11/29/11 @ 09:00AM,TRUE,0.00620050319338,0.00234183481449,0.00385866837889
11/29/11 @ 10:00AM,TRUE,0.000115576314014,0.000861943270926,0.000746366956912
11/29/11 @ 11:00AM,FALSE,0.000223642462553,-0.00308958404044,0.003313226503
11/29/11 @ 12:00PM,TRUE,-0.0010600481173,-0.000403667345025,0.000656380772273
11/29/11 @ 01:00PM,TRUE,-0.000253164873798,-0.00429408750005,0.00404092262625
11/29/11 @ 02:00PM,FALSE,-0.000992847629758,0.00337155678911,0.00436440441887
11/29/11 @ 03:00PM,FALSE,0.000265733182037,-0.0013786488099,0.00164438199194
11/29/11 @ 04:00PM,FALSE,0.000106564479303,-0.000346807913359,0.000453372392663
11/30/11 @ 09:00AM,FALSE,-0.0011173903587,0.0306487008825,0.0317660912412
11/30/11 @ 10:00AM,TRUE,0.00564686425772,0.00585731534906,0.000210451091336
11/30/11 @ 11:00AM,TRUE,-0.000219554869722,-0.0023501727887,0.00213061791898
11/30/11 @ 12:00PM,TRUE,-0.00135428166475,-0.000061524844999,0.00129275681975
11/30/11 @ 01:00PM,TRUE,-0.00158066322867,-0.00308224908344,0.00150158585477
11/30/11 @ 02:00PM,FALSE,-0.000941671876812,0.00157516507987,0.00251683695668
11/30/11 @ 03:00PM,FALSE,-0.000047728339171,0.00779866727694,0.00784639561611
11/30/11 @ 04:00PM,TRUE,0.0015096040787,0.00061541982284,0.00089418425586
12/01/11 @ 09:00AM,FALSE,-0.00150594953649,0.0037789805595,0.00528493009598
12/01/11 @ 10:00AM,TRUE,-0.000026197770162,-0.00463736410022,0.00461116633006
12/01/11 @ 11:00AM,FALSE,-0.00181488825171,0.00140558972709,0.0032204779788
12/01/11 @ 12:00PM,TRUE,-0.00102576901706,-0.00215221961582,0.00112645059877
12/01/11 @ 01:00PM,FALSE,-0.000417512506281,0.00612738473958,0.00654489724586
12/01/11 @ 02:00PM,FALSE,0.00326730276853,-0.00126305254284,0.00453035531137
12/01/11 @ 03:00PM,FALSE,0.00145175977144,-0.00158807232676,0.00303983209819
12/01/11 @ 04:00PM,TRUE,0.00224667705409,0.000307111639766,0.00193956541432
12/02/11 @ 09:00AM,TRUE,0.000622232150472,0.0085383191689,0.00791608701843
12/02/11 @ 10:00AM,TRUE,0.000470175440404,0.000984779718553,0.000514604278149
12/02/11 @ 11:00AM,FALSE,0.000688557214899,-0.00564983997986,0.00633839719476
12/02/11 @ 12:00PM,FALSE,-0.00099261723597,0.00123349718871,0.00222611442468
12/02/11 @ 01:00PM,TRUE,-0.000247287149335,-0.00142524219625,0.00117795504692
12/02/11 @ 02:00PM,TRUE,-0.000498739634597,-0.00232890203145,0.00183016239686
12/02/11 @ 03:00PM,FALSE,0.0014772276828,-0.00177101672247,0.00324824440527
12/02/11 @ 04:00PM,TRUE,-0.000598246236468,-0.000323196256174,0.000275049980294
12/05/11 @ 09:00AM,TRUE,0.00621188131365,0.0130447460387,0.00683286472505
12/05/11 @ 10:00AM,TRUE,0.00227372727464,0.00291254617393,0.00063881889929
12/05/11 @ 11:00AM,FALSE,0.000206724388499,-0.000407070697909,0.000613795086408
